"Fila","Mahalanobis"
1026,26.6009483132542
1027,45.5330338992267
1028,40.9715039686967
1029,31.9666492405626
1030,28.7054343014453
1031,47.1968899875685
1032,78.6130987383032
1033,31.0353371910839
1034,29.0345424527793
1035,26.1718233713121
1036,77.1205801903273
1037,51.5466899119487
1038,30.1648984424575
1039,18.5290548209069
1040,23.2755670327783
1041,26.2554687551338
1042,32.7896567948575
1043,20.0856609202953
1044,30.7683793296262
1045,18.0729887799845
1046,58.3634812245832
1047,8.46575726196089
1048,20.7611813281078
1049,27.7911060990117
1050,40.7032423855947
1051,31.2505378353689
1052,32.9571194808259
1053,35.4638456202357
1054,40.6779790512809
1055,29.5054657255995
1056,22.363988746505
1057,34.5921418277283
1058,11.2777428433324
1059,18.2993573561687
1060,48.1898874973927
1061,14.8901523423259
1062,36.2236972226423
1063,23.7394386275022
1064,23.8008466798803
1065,27.3688076332121
1066,54.0486516318219
1067,22.8056476086161
1068,18.7918805642832
1069,37.3926065481835
1070,31.4240536465906
1071,11.6760063965616
1072,19.180828992872
1073,16.8562818666882
1074,44.3082469884051
1075,25.1285396676008
1076,37.6865785665821
1077,43.9350850491774
1078,16.7098393270012
1079,17.0579546566044
1080,24.3161080024121
1081,26.7854869177736
1082,31.8242503505855
1083,33.2318839745531
1084,22.1666798089475
1085,28.124258589365
1086,32.5953450186782
1087,27.3681064454145
1088,32.2728978403074
1089,26.4380962798856
1090,30.8049893067281
1091,28.3946084090829
1092,28.1537912011943
1093,26.7182128860698
1094,45.4313152490591
1095,23.6313996249064
1096,23.8667610020994
1097,24.4353132283694
1098,15.9180538446615
1099,26.6129422241728
1100,42.1300335205445
1101,38.1494688199027
1102,18.4354015930483
1103,21.6650092832574
1104,51.9769185929026
1105,36.0393764994913
1106,37.6247413246998
1107,14.8144900630859
1108,39.7707409098532
1109,14.7349236619465
1110,51.2480344297824
1111,25.0258156487622
1112,161.976381290404
1113,19.250191203643
1114,52.6493957827695
1115,16.7848367243177
1116,33.6101276726505
1117,19.102461625373
1118,25.7702099819654
1119,20.3741338145635
1120,18.8037571715265
1121,20.2433935071293
1122,39.0657040044545
1123,24.2178948162894
1124,33.1357000152115
1125,17.6460174800628
1126,15.1564591024539
1127,12.0018624906881
1128,17.4603243791321
1129,32.3569480056254
1130,19.0762900845296
1131,16.7564680899608
1132,25.0383018663151
1133,16.2152721510592
1134,42.7033258539777
1135,44.7918452432613
1136,20.7290710275249
1137,39.2821419065011
1138,27.8819768111933
1139,26.8812836088504
1140,30.3663050202472
1141,12.8116841698037
1142,17.4195983024069
1143,13.1885748294394
1144,33.2532664194815
1145,32.8987208089485
1146,22.3754478606402
1147,25.724897101985
1148,31.9491529044029
1149,29.0024957188222
1150,20.7295251069025
1151,24.8522861605282
1152,21.5875164819783
1153,23.5974243231116
1154,23.1329668768905
1155,10.7560180065134
1156,26.3421331152314
1157,52.1188837808294
1158,30.0046931410431
1159,13.0331768731038
1160,20.9528220812848
1161,25.7914626914067
1162,22.8061784641981
1163,18.1193016966015
1164,14.2643956523945
1165,25.9652193078898
1166,26.2099526751763
1167,36.7766933847575
1168,17.7901010892909
1169,24.97601137918
1170,39.090419346889
1171,34.9238903905206
1172,22.6227344676644
1173,50.5306963758085
1174,38.6904950096134
1175,25.9314676353196
1176,30.7507535334755
1177,19.0907846883395
1178,38.884170456602
1179,37.3443590420612
1180,16.8732434915519
1181,13.651610746264
1182,24.4637676027186
1183,27.3751258706955
1184,42.7379916591768
1185,175.418322619247
1186,20.438581812364
1187,29.2625481089767
1188,34.7333088390298
1189,31.7460286032927
1190,30.8853762125555
1191,19.7444000551582
1192,21.836536644855
1193,26.4623812324755
1194,12.5183313368051
1195,15.2685265437711
1196,20.1281010053083
1197,42.4426450926624
1198,17.2221876317639
1199,23.4857959129133
1200,32.1212905612424
1201,37.6793940329166
1202,40.1726433510417
1203,33.298793259899
1204,28.2009882854353
1205,36.5561431649235
1206,23.0591572788345
1207,43.3974532626832
1208,36.6803472412046
1209,55.0480588813851
1210,34.7102167206592
1211,26.4704288917933
1212,49.348410801052
1213,132.32132554685
1214,28.882641038395
1215,37.1539837744276
1216,24.0800040073631
1217,53.730335921465
1218,22.7190082947204
1219,24.6126090784957
1220,25.7655739968726
1221,34.1805239058778
1222,38.822745223005
1223,32.7012381065485
1224,11.3443707467664
1225,13.5165365247405
1226,13.6636754039775
1227,24.6839588367146
1228,13.1733118902177
1229,29.0308320122278
1230,16.9488359164992
1231,6.341634886992
1232,29.5004269939776
1233,20.5947876616929
1234,24.4213848500524
1235,35.4251760627816
1236,21.1600460920029
1237,28.9427919648514
1238,13.0361794752099
1239,40.1357848102583
1240,20.4099604471091
1241,34.7471950510986
1242,7.88855365062832
1243,35.385614763345
1244,14.3696811576189
1245,25.7913476947723
1246,30.9348632236768
1247,35.1127229141897
1248,17.8842475561951
1249,47.8733321288652
1250,13.199989483237
1251,43.1766326327279
1252,38.3324225032153
1253,35.2586089389183
1254,34.1401838684218
1255,18.6129747101916
1256,27.9928516986895
1257,32.2886381877772
1258,20.2034029929521
1259,14.7414432129014
1260,23.6010142278297
1261,37.2067949941929
1262,65.0398611460371
1263,23.2820285289874
1264,33.0097904256209
1265,12.7456340900958
1266,13.9689725736345
1267,11.4841031509437
1268,21.1000611034597
1269,51.9877662826443
1270,45.0088398901191
1271,29.138541077394
1272,14.4608655002487
1273,32.1462056362029
1274,35.6089813862302
1275,30.1652403517726
1276,23.3033887722518
1277,28.7190550277863
1278,23.9457324579136
1279,28.4374927637522
1280,19.983810449727
1281,39.0972909128098
1282,41.0545778440509
1283,14.2713072551641
1284,15.7524918703411
1285,31.555569724174
1286,19.258042043694
1287,20.3240380827115
1288,22.4071558794376
1289,21.0346976852075
1290,25.1722464924591
1291,8.81967336622431
